[Thu Mar 12 09:39:32.268506 2015] [mpm_winnt:notice] [pid 432:tid 472] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Thu Mar 12 09:39:32.268506 2015] [mpm_winnt:notice] [pid 432:tid 472] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Thu Mar 12 09:39:32.268506 2015] [core:notice] [pid 432:tid 472] AH00094: Command line: 'C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver/apache2/bin/httpd_usbwv8.exe -d C:/Users/Erwin/Documents/GitHub/GameWebshop/usbwebserver/apache2'
[Thu Mar 12 09:39:32.299755 2015] [mpm_winnt:notice] [pid 432:tid 472] AH00418: Parent: Created child process 6936
[Thu Mar 12 09:39:32.612218 2015] [mpm_winnt:notice] [pid 6936:tid 532] AH00354: Child: Starting 64 worker threads.
[Thu Mar 12 11:18:18.349548 2015] [:error] [pid 6936:tid 1072] [client ::1:62016] PHP Fatal error:  Call to undefined function database_connect() in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\cart.php on line 6, referer: http://localhost:8080/about.php
[Thu Mar 12 11:19:55.835272 2015] [:error] [pid 6936:tid 1072] [client ::1:62030] PHP Notice:  Undefined index: cartItems in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\functions\\to_cart.php on line 35, referer: http://localhost:8080/cart.php
[Thu Mar 12 11:19:55.835272 2015] [:error] [pid 6936:tid 1072] [client ::1:62030] PHP Warning:  Invalid argument supplied for foreach() in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\functions\\to_cart.php on line 35, referer: http://localhost:8080/cart.php
[Thu Mar 12 11:19:55.835272 2015] [:error] [pid 6936:tid 1072] [client ::1:62030] PHP Notice:  Undefined index: cartItems in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\functions\\to_cart.php on line 64, referer: http://localhost:8080/cart.php
[Thu Mar 12 11:20:11.447947 2015] [:error] [pid 6936:tid 1072] [client ::1:62033] PHP Notice:  Undefined index: cartItems in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\functions\\to_cart.php on line 35, referer: http://localhost:8080/cart.php
[Thu Mar 12 11:20:11.447947 2015] [:error] [pid 6936:tid 1072] [client ::1:62033] PHP Warning:  Invalid argument supplied for foreach() in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\functions\\to_cart.php on line 35, referer: http://localhost:8080/cart.php
[Thu Mar 12 11:20:11.447947 2015] [:error] [pid 6936:tid 1072] [client ::1:62033] PHP Notice:  Undefined index: cartItems in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\functions\\to_cart.php on line 64, referer: http://localhost:8080/cart.php
[Thu Mar 12 11:21:10.200811 2015] [:error] [pid 6936:tid 1072] [client ::1:62041] PHP Notice:  Undefined index: cartItems in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\functions\\to_cart.php on line 35, referer: http://localhost:8080/cart.php
[Thu Mar 12 11:21:10.200811 2015] [:error] [pid 6936:tid 1072] [client ::1:62041] PHP Warning:  Invalid argument supplied for foreach() in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\functions\\to_cart.php on line 35, referer: http://localhost:8080/cart.php
[Thu Mar 12 11:21:10.201812 2015] [:error] [pid 6936:tid 1072] [client ::1:62041] PHP Notice:  Undefined index: cartItems in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\functions\\to_cart.php on line 64, referer: http://localhost:8080/cart.php
[Thu Mar 12 11:26:22.279536 2015] [:error] [pid 6936:tid 1072] [client ::1:62082] PHP Notice:  Undefined variable: link in C:\\Users\\Erwin\\Documents\\GitHub\\GameWebshop\\usbwebserver\\root\\webshop.php on line 27, referer: http://localhost:8080/index.php
